Region,Mean_NDVI,Center_Lon,Center_Lat,Is_Bengaluru,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2
Region_457,0.0,78.11836937868745,10.831786305026709,False,105,IND,India,31,Tamil Nadu,458,Karur,District,District,,
Region_463,,78.86659365075877,10.342065199575568,False,105,IND,India,31,Tamil Nadu,464,Pudukkottai,District,District,,Pudukottai
Region_464,,78.68033988575293,9.442918449418956,False,105,IND,India,31,Tamil Nadu,465,Ramanathapuram,District,District,,"Ramananthapuram, Rameswaram, Ramnad"
Region_465,,78.2091607389949,11.66309337908854,False,105,IND,India,31,Tamil Nadu,466,Salem,District,District,,
Region_466,-3.0060962791675426e-05,78.5759593271522,9.907016772518023,False,105,IND,India,31,Tamil Nadu,467,Sivaganga,District,District,,Pasumpon Muthuramalinga
Region_467,,79.22359063611088,10.655249827793785,False,105,IND,India,31,Tamil Nadu,468,Thanjavur,District,District,,Tanjore
Region_468,,77.42393232021162,9.880751439386028,False,105,IND,India,31,Tamil Nadu,469,Theni,District,District,,
Region_469,,79.92518938442434,13.230328522386813,False,105,IND,India,31,Tamil Nadu,470,Thiruvallur,District,District,,
Region_470,,79.53460868630388,10.66934808221217,False,105,IND,India,31,Tamil Nadu,471,Thiruvarur,District,District,,
Region_472,,78.55491393792528,10.876685258615906,False,105,IND,India,31,Tamil Nadu,473,Tiruchchirappalli,District,District,,
Region_474,,79.154458654043,12.418655269773655,False,105,IND,India,31,Tamil Nadu,475,Tiruvannamalai,District,District,,
Region_475,,78.99814820456402,12.800637803865222,False,105,IND,India,31,Tamil Nadu,476,Vellore,District,District,,North Arcot
Region_476,,79.28446742363916,11.960325100139324,False,105,IND,India,31,Tamil Nadu,477,Villupuram,District,District,,
Region_478,,78.96672966506821,19.254433024782802,False,105,IND,India,32,Telangana,479,Adilabad,District,District,,
Region_479,-0.008903772785078423,78.46413087192005,17.385620240920243,False,105,IND,India,32,Telangana,480,Hyderabad,District,District,,
Region_480,,79.23473572268674,18.546226728030575,False,105,IND,India,32,Telangana,481,Karimnagar,District,District,,
Region_481,,80.6790880283413,17.590040390931932,False,105,IND,India,32,Telangana,482,Khammam,District,District,,Khammamamet
Region_482,,78.14044096047056,16.493430758907838,False,105,IND,India,32,Telangana,483,Mahbubnagar,District,District,,Mehbubnagar;Mahaboobnagar
Region_483,,78.21079722029229,17.88486014901616,False,105,IND,India,32,Telangana,484,Medak,District,District,,Sangapeddi
Region_484,,79.28145060165535,17.061890098323534,False,105,IND,India,32,Telangana,485,Nalgonda,District,District,,
Region_485,,78.13937539271664,18.523969408729585,False,105,IND,India,32,Telangana,486,Nizamabad,District,District,,
Region_486,,78.17220391814277,17.284057220963216,False,105,IND,India,32,Telangana,487,Rangareddi,District,District,,Rangareddy
Region_487,,79.79165863343597,17.949973834478044,False,105,IND,India,32,Telangana,488,Warangal,District,District,,
